,coef,std err,t,P>|t|,[0.025,0.975]
2000 Intercept,0.001,0.0,4.9719999999999995,0.0,0.001,0.001
2000 beta:Cluster[Cluster 0],-0.0005,0.001,-0.552,0.581,-0.002,0.001
2000 beta:Cluster[Cluster 1],-0.0009,0.0,-3.702,0.0,-0.001,-0.0
2000 beta:Cluster[Cluster 10],-0.001,0.0,-2.747,0.006,-0.002,-0.0
2000 beta:Cluster[Cluster 2],-0.0025,0.001,-3.6910000000000003,0.0,-0.004,-0.001
2000 beta:Cluster[Cluster 3],0.0035,0.001,2.387,0.017,0.001,0.006
2000 beta:Cluster[Cluster 4],0.0005,0.0,1.547,0.12300000000000001,-0.0,0.001
2000 beta:Cluster[Cluster 5],0.0027,0.002,1.396,0.163,-0.001,0.006
2000 beta:Cluster[Cluster 6],0.0015,0.001,2.426,0.016,0.0,0.003
2000 beta:Cluster[Cluster 7],-0.0004,0.0,-2.7289999999999996,0.006999999999999999,-0.001,-0.0
2000 beta:Cluster[Cluster 8],0.0028,0.002,1.83,0.068,-0.0,0.006
2000 beta:Cluster[Cluster 9],-0.0008,0.0,-1.974,0.049,-0.002,-3.71e-06
2000 Intercept,0.0013,0.0,6.8260000000000005,0.0,0.001,0.002
2000 beta:GICS_SECTOR_NAME[Communication Services],-0.0032,0.0,-6.563,0.0,-0.004,-0.002
2000 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0011,0.0,-3.253,0.001,-0.002,-0.0
2000 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0011,0.001,-1.48,0.14,-0.003,0.0
2000 beta:GICS_SECTOR_NAME[Energy],-0.0015,0.001,-1.963,0.051,-0.003,3.54e-06
2000 beta:GICS_SECTOR_NAME[Financials],0.0002,0.0,0.855,0.39299999999999996,-0.0,0.001
2000 beta:GICS_SECTOR_NAME[Health Care],0.0013,0.0,2.6519999999999997,0.008,0.0,0.002
2000 beta:GICS_SECTOR_NAME[Industrials],-0.0012,0.0,-2.807,0.005,-0.002,-0.0
2000 beta:GICS_SECTOR_NAME[Information Technology],-0.0005,0.0,-3.292,0.001,-0.001,-0.0
2000 beta:GICS_SECTOR_NAME[Materials],-0.0023,0.001,-3.7489999999999997,0.0,-0.003,-0.001
2000 beta:GICS_SECTOR_NAME[Real Estate],-0.0038,0.002,-1.8730000000000002,0.062,-0.008,0.0
2000 beta:GICS_SECTOR_NAME[Utilities],0.0011,0.002,0.6629999999999999,0.508,-0.002,0.004
2000 Intercept,0.001,0.0,5.906000000000001,0.0,0.001,0.001
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0025,0.0,-8.008,0.0,-0.003,-0.002
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0009,0.0,-3.002,0.003,-0.002,-0.0
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0008,0.001,-1.175,0.24100000000000002,-0.002,0.001
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.001,0.001,1.5959999999999999,0.111,-0.0,0.002
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0006,0.0,2.405,0.017,0.0,0.001
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0012,0.0,3.318,0.001,0.0,0.002
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0003,0.0,-0.9420000000000001,0.34700000000000003,-0.001,0.0
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0016,0.001,-3.053,0.002,-0.003,-0.001
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0032,0.002,-1.421,0.156,-0.008,0.001
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0004,0.0,-3.3680000000000003,0.001,-0.001,-0.0
2000 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0041,0.001,3.1830000000000003,0.002,0.002,0.006999999999999999
2001 Intercept,0.0004,0.0,2.658,0.008,9.92e-05,0.001
2001 beta:Cluster[Cluster 0],-0.0021,0.001,-2.6010000000000004,0.01,-0.004,-0.001
2001 beta:Cluster[Cluster 1],-0.0017,0.001,-2.5,0.013000000000000001,-0.003,-0.0
2001 beta:Cluster[Cluster 10],0.0008,0.0,3.947,0.0,0.0,0.001
2001 beta:Cluster[Cluster 2],0.0001,0.0,0.475,0.635,-0.0,0.001
2001 beta:Cluster[Cluster 3],-0.0002,0.0,-0.948,0.344,-0.001,0.0
2001 beta:Cluster[Cluster 4],-0.001,0.001,-0.9470000000000001,0.344,-0.003,0.001
2001 beta:Cluster[Cluster 5],0.0006,0.0,2.27,0.024,7.49e-05,0.001
2001 beta:Cluster[Cluster 6],-0.0003,8.47e-05,-2.9819999999999998,0.003,-0.0,-8.609999999999999e-05
2001 beta:Cluster[Cluster 7],-0.0003,0.0,-1.068,0.28600000000000003,-0.001,0.0
2001 beta:Cluster[Cluster 8],-0.0003,0.0,-1.524,0.128,-0.001,9.8e-05
2001 beta:Cluster[Cluster 9],-0.0008,0.003,-0.316,0.752,-0.006,0.004
2001 Intercept,0.0005,0.0,3.397,0.001,0.0,0.001
2001 beta:GICS_SECTOR_NAME[Communication Services],-0.0001,0.0,-0.41200000000000003,0.68,-0.001,0.0
2001 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0007,0.0,3.42,0.001,0.0,0.001
2001 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0007,0.001,-0.9620000000000001,0.337,-0.002,0.001
2001 beta:GICS_SECTOR_NAME[Energy],-0.0021,0.001,-2.8710000000000004,0.004,-0.003,-0.001
2001 beta:GICS_SECTOR_NAME[Financials],-0.0006,0.0,-2.436,0.015,-0.001,-0.0
2001 beta:GICS_SECTOR_NAME[Health Care],-0.0008,0.0,-1.9869999999999999,0.048,-0.002,-7.48e-06
2001 beta:GICS_SECTOR_NAME[Industrials],4.312e-05,0.0,0.182,0.856,-0.0,0.001
2001 beta:GICS_SECTOR_NAME[Information Technology],-0.0002,9.8e-05,-1.607,0.109,-0.0,3.53e-05
2001 beta:GICS_SECTOR_NAME[Materials],0.0003,0.0,0.845,0.39899999999999997,-0.0,0.001
2001 beta:GICS_SECTOR_NAME[Real Estate],-2.881e-05,0.001,-0.02,0.9840000000000001,-0.003,0.003
2001 beta:GICS_SECTOR_NAME[Utilities],-0.002,0.001,-1.9069999999999998,0.057,-0.004,6.42e-05
2001 Intercept,0.0005,0.0,3.8139999999999996,0.0,0.0,0.001
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0002,0.0,-0.909,0.364,-0.001,0.0
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0007,0.0,4.013999999999999,0.0,0.0,0.001
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-2.2800000000000002e-05,0.0,-0.047,0.963,-0.001,0.001
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0012,0.0,-3.41,0.001,-0.002,-0.001
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0006,0.0,-3.2939999999999996,0.001,-0.001,-0.0
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0003,0.0,-1.052,0.293,-0.001,0.0
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0003,0.0,-1.815,0.07,-0.001,2.8300000000000003e-05
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],3.459e-05,0.0,0.121,0.904,-0.001,0.001
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0002,0.001,-0.10300000000000001,0.9179999999999999,-0.003,0.003
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0002,8.209999999999999e-05,-2.18,0.03,-0.0,-1.76e-05
2001 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0028,0.001,-3.679,0.0,-0.004,-0.001
2002 Intercept,0.001,0.0,5.692,0.0,0.001,0.001
2002 beta:Cluster[Cluster 0],-0.0019,0.001,-3.5460000000000003,0.0,-0.003,-0.001
2002 beta:Cluster[Cluster 1],-0.0025,0.0,-7.321000000000001,0.0,-0.003,-0.002
2002 beta:Cluster[Cluster 10],-0.002,0.0,-7.0489999999999995,0.0,-0.003,-0.001
2002 beta:Cluster[Cluster 2],-0.0015,0.0,-6.252000000000001,0.0,-0.002,-0.001
2002 beta:Cluster[Cluster 3],-0.0013,0.0,-6.666,0.0,-0.002,-0.001
2002 beta:Cluster[Cluster 4],-0.0012,0.001,-1.893,0.059000000000000004,-0.002,4.6200000000000005e-05
2002 beta:Cluster[Cluster 5],-0.0014,0.0,-11.464,0.0,-0.002,-0.001
2002 beta:Cluster[Cluster 6],-0.0018,0.0,-10.753,0.0,-0.002,-0.001
2002 beta:Cluster[Cluster 7],-0.0013,0.0,-6.865,0.0,-0.002,-0.001
2002 beta:Cluster[Cluster 8],-0.0008,0.0,-2.611,0.009000000000000001,-0.001,-0.0
2002 beta:Cluster[Cluster_NO_MAP_Cluster 9],0.0019,0.002,0.835,0.40399999999999997,-0.003,0.006
2002 Intercept,0.0012,0.0,6.584,0.0,0.001,0.002
2002 beta:GICS_SECTOR_NAME[Communication Services],-0.0016,0.0,-6.568,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0014,0.0,-6.1370000000000005,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0026,0.0,-5.5,0.0,-0.004,-0.002
2002 beta:GICS_SECTOR_NAME[Energy],-0.0012,0.0,-4.77,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Financials],-0.0015,0.0,-7.712000000000001,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Health Care],-0.0022,0.0,-7.41,0.0,-0.003,-0.002
2002 beta:GICS_SECTOR_NAME[Industrials],-0.0016,0.0,-6.881,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Information Technology],-0.0016,0.0,-12.142000000000001,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Materials],-0.0013,0.0,-4.559,0.0,-0.002,-0.001
2002 beta:GICS_SECTOR_NAME[Real Estate],-0.0019,0.001,-2.399,0.017,-0.003,-0.0
2002 beta:GICS_SECTOR_NAME[Utilities],-0.0023,0.0,-7.296,0.0,-0.003,-0.002
2002 Intercept,0.001,0.0,6.745,0.0,0.001,0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0014,0.0,-7.007999999999999,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0015,0.0,-7.309,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0019,0.0,-4.9639999999999995,0.0,-0.003,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0013,0.0,-5.888999999999999,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0012,0.0,-6.817,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0021,0.0,-8.297,0.0,-0.003,-0.002
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0015,0.0,-7.303,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0012,0.0,-4.627,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0019,0.001,-2.36,0.019,-0.004,-0.0
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0016,0.0,-13.290999999999999,0.0,-0.002,-0.001
2002 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0024,0.0,-10.211,0.0,-0.003,-0.002
2003 Intercept,0.0004,0.0,2.4090000000000003,0.016,6.979999999999999e-05,0.001
2003 beta:Cluster[Cluster 0],0.0005,0.0,2.32,0.021,7.92e-05,0.001
2003 beta:Cluster[Cluster 1],0.0009,0.0,4.9719999999999995,0.0,0.001,0.001
2003 beta:Cluster[Cluster 10],0.0006,0.0,3.577,0.0,0.0,0.001
2003 beta:Cluster[Cluster 2],0.0004,0.0,1.889,0.06,-1.8100000000000003e-05,0.001
2003 beta:Cluster[Cluster 3],0.0012,0.0,10.092,0.0,0.001,0.001
2003 beta:Cluster[Cluster 4],0.0013,0.0,8.418,0.0,0.001,0.002
2003 beta:Cluster[Cluster 5],0.0007,0.0,1.636,0.10300000000000001,-0.0,0.001
2003 beta:Cluster[Cluster 6],0.0008,0.0,3.139,0.002,0.0,0.001
2003 beta:Cluster[Cluster 7],0.0009,0.0,5.003,0.0,0.001,0.001
2003 beta:Cluster[Cluster 8],0.0015,0.0,3.287,0.001,0.001,0.002
2003 beta:Cluster[Cluster 9],0.0003,0.0,0.965,0.335,-0.0,0.001
2003 Intercept,-0.0002,0.0,-1.181,0.23800000000000002,-0.001,0.0
2003 beta:GICS_SECTOR_NAME[Communication Services],0.0012,0.0,5.6339999999999995,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0014,0.0,7.53,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Consumer Staples],0.0012,0.0,3.6919999999999997,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Energy],0.0029,0.0,5.977,0.0,0.002,0.004
2003 beta:GICS_SECTOR_NAME[Financials],0.001,0.0,5.9079999999999995,0.0,0.001,0.001
2003 beta:GICS_SECTOR_NAME[Health Care],0.0016,0.0,6.263,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Industrials],0.0014,0.0,6.962999999999999,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Information Technology],0.0015,0.0,12.083,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Materials],0.0016,0.0,7.019,0.0,0.001,0.002
2003 beta:GICS_SECTOR_NAME[Real Estate],0.0013,0.001,2.255,0.025,0.0,0.002
2003 beta:GICS_SECTOR_NAME[Utilities],0.0015,0.0,4.882,0.0,0.001,0.002
2003 Intercept,0.0002,0.0,1.075,0.28300000000000003,-0.0,0.0
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0008,0.0,4.408,0.0,0.0,0.001
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0011,0.0,6.664,0.0,0.001,0.001
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0006,0.0,2.329,0.02,0.0,0.001
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0016,0.0,5.2829999999999995,0.0,0.001,0.002
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0008,0.0,5.072,0.0,0.0,0.001
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0012,0.0,5.459,0.0,0.001,0.002
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.001,0.0,5.792000000000001,0.0,0.001,0.001
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0013,0.0,6.178999999999999,0.0,0.001,0.002
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0009,0.001,1.56,0.11900000000000001,-0.0,0.002
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0013,0.0,11.947000000000001,0.0,0.001,0.002
2003 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0013,0.0,4.758,0.0,0.001,0.002
2004 Intercept,0.0003,0.0,2.09,0.037000000000000005,1.64e-05,0.001
2004 beta:Cluster[Cluster 0],0.0003,0.0,1.401,0.162,-0.0,0.001
2004 beta:Cluster[Cluster 1],0.0005,0.0,3.031,0.003,0.0,0.001
2004 beta:Cluster[Cluster 10],0.0007,0.0,1.883,0.06,-2.9299999999999997e-05,0.001
2004 beta:Cluster[Cluster 2],0.0014,0.0,5.519,0.0,0.001,0.002
2004 beta:Cluster[Cluster 3],0.0007,0.0,2.252,0.025,8.8e-05,0.001
2004 beta:Cluster[Cluster 4],0.0005,0.0,3.06,0.002,0.0,0.001
2004 beta:Cluster[Cluster 5],-7.465e-05,8.75e-05,-0.853,0.39399999999999996,-0.0,9.740000000000001e-05
2004 beta:Cluster[Cluster 6],0.0004,0.0,3.304,0.001,0.0,0.001
2004 beta:Cluster[Cluster 7],1.957e-05,0.0,0.10300000000000001,0.9179999999999999,-0.0,0.0
2004 beta:Cluster[Cluster 8],0.0005,0.0,3.593,0.0,0.0,0.001
2004 beta:Cluster[Cluster 9],0.0002,0.0,1.495,0.136,-7.38e-05,0.001
2004 Intercept,0.0004,0.0,2.62,0.009000000000000001,9.779999999999999e-05,0.001
2004 beta:GICS_SECTOR_NAME[Communication Services],7.658e-05,0.0,0.345,0.73,-0.0,0.001
2004 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0005,0.0,3.158,0.002,0.0,0.001
2004 beta:GICS_SECTOR_NAME[Consumer Staples],0.0002,0.0,0.562,0.575,-0.0,0.001
2004 beta:GICS_SECTOR_NAME[Energy],0.0013,0.0,4.2780000000000005,0.0,0.001,0.002
2004 beta:GICS_SECTOR_NAME[Financials],7.769e-05,0.0,0.43799999999999994,0.662,-0.0,0.0
2004 beta:GICS_SECTOR_NAME[Health Care],0.0003,0.0,1.382,0.168,-0.0,0.001
2004 beta:GICS_SECTOR_NAME[Industrials],0.0004,0.0,2.351,0.019,6.6e-05,0.001
2004 beta:GICS_SECTOR_NAME[Information Technology],-3.973e-05,0.0,-0.364,0.716,-0.0,0.0
2004 beta:GICS_SECTOR_NAME[Materials],0.0005,0.0,2.948,0.003,0.0,0.001
2004 beta:GICS_SECTOR_NAME[Real Estate],0.0004,0.0,0.924,0.35600000000000004,-0.0,0.001
2004 beta:GICS_SECTOR_NAME[Utilities],0.0005,0.0,1.4569999999999999,0.146,-0.0,0.001
2004 Intercept,0.0007,0.0,5.859,0.0,0.0,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0003,0.0,-1.746,0.081,-0.001,3.9200000000000004e-05
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0002,0.0,1.264,0.207,-9.329999999999999e-05,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0003,0.0,-1.2329999999999999,0.218,-0.001,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0005,0.0,2.383,0.018000000000000002,8.65e-05,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0002,0.0,-1.186,0.23600000000000002,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0001,0.0,-0.701,0.484,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-4.762e-05,0.0,-0.35,0.726,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0002,0.0,1.315,0.18899999999999997,-8.740000000000001e-05,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0002,0.0,0.42,0.675,-0.001,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0002,8.82e-05,-2.4419999999999997,0.015,-0.0,-4.2e-05
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-5.965e-05,0.0,-0.244,0.807,-0.001,0.0
2005 Intercept,-0.0003,0.0,-1.8940000000000001,0.059000000000000004,-0.001,1.05e-05
2005 beta:Cluster[Cluster 0],0.0005,0.0,3.951,0.0,0.0,0.001
2005 beta:Cluster[Cluster 1],0.0015,0.0,6.377999999999999,0.0,0.001,0.002
2005 beta:Cluster[Cluster 10],0.0009,0.0,4.263999999999999,0.0,0.0,0.001
2005 beta:Cluster[Cluster 2],0.0017,0.0,11.045,0.0,0.001,0.002
2005 beta:Cluster[Cluster 3],0.0006,0.0,2.753,0.006,0.0,0.001
2005 beta:Cluster[Cluster 4],0.0005,0.0,3.036,0.003,0.0,0.001
